,prompt,completion
445,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" id=""rc_select_1"" role=""combobox"" type=""search"" value=""finish blew""></div><span aria-hidden=""true"" aria-label=""check-circle"" backgroundcolor=""black 0"" bordercolor=""limegreen 1"" color=""limegreen 1"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""popular husband"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""bigger article purpose round joined earth setting"",""options"":null,""type"":""autoComplete""},{""label"":""cookies save"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""later receive enjoy column known evening changing far"",""text"":null,""type"":""switch"",""options"":null}]"
446,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""sing"">sing</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""radio"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">sing</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><span aria-activedescendant=""rc_select_2_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" id=""rc_select_2"" role=""combobox"" type=""search"" value=""""></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""her thank series"">her thank series</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""checkbox"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">her thank series</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><span aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" id=""rc_select_3"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><span aria-hidden=""true"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" fontsize=""0.8571428571428571"" unselectable=""on""><span aria-hidden=""true"" aria-label=""down"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""down"" fill=""currentColor"" focusable=""false"" fontsize=""0.8571428571428571"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div></div></form>"," [{""label"":""sing"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""pet reason whispered nine dried realize angry accident protection"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""heard"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""proper waste her studied"",""options"":null,""type"":""autoComplete""},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""her thank series"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""thus function floating plenty growth rays own tightly"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""hall fighting"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":null,""maxTagCount"":2,""mode"":""single"",""options"":null,""type"":""select""}]"
447,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""cut regular"">cut regular</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""checkbox"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">cut regular</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" id=""rc_select_2"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/><span aria-hidden=""true"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""> </span></div><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""><span aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" id=""rc_select_3"" role=""combobox"" type=""search"" value=""""></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><span aria-hidden=""true"" aria-label=""close-circle"" backgroundcolor=""black 0"" bordercolor=""tomato 1"" color=""tomato 1"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></form>"," [{""label"":""cut regular"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""white dead leaving now differ tall"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""leather slave green"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""slope cold worse program usually rest people"",""maxTagCount"":1,""multiple"":true,""options"":null,""type"":""cascader""},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""musical"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""select fur piano market whole"",""options"":null,""type"":""autoComplete""}]"
448,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""high chose sitting"">high chose sitting</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""checkbox"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">high chose sitting</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></form>"," [{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""high chose sitting"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""plural will tiny bear orbit show before"",""indeterminate"":false,""type"":""checkbox"",""options"":null}]"
449,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""made officer situation"">made officer situation</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""checkbox"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">made officer situation</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""whitesmoke 1"" color=""black 0""></span></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""made officer situation"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""grabbed simple farmer jack glass basis spirit"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""milk"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""page dried dead people plane once box"",""min"":-100,""max"":100,""step"":6,""marks"":{""27"":""road wish dream"",""31"":""steam want running"",""45"":""stream exist bowl"",""51"":""gone low"",""97"":""began try"",""-87"":""asleep difficulty selection""},""reversed"":false,""vertical"":false,""range"":true,""graduated"":true,""type"":""slider"",""options"":null}]"
450,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></form>"," [{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""book pitch sweet"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""tool fair beat tail enough fuel caught building"",""picker"":""quarter"",""isRange"":false,""showTime"":false,""type"":""date"",""options"":null}]"
451,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" id=""rc_select_1"" role=""combobox"" type=""search"" value=""gift call consider""></div><span aria-hidden=""true"" aria-label=""check-circle"" backgroundcolor=""black 0"" bordercolor=""limegreen 1"" color=""limegreen 1"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></span><span backgroundcolor=""white 1"" bordercolor=""black 0"" color=""black 0""></span></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></div></form>"," [{""label"":""dirt"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""hill orange lonely"",""options"":null,""type"":""autoComplete""},{""label"":""crowd"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""future they higher pile"",""min"":-100,""max"":100,""step"":3,""marks"":{""16"":""require"",""71"":""silly"",""84"":""simplest apartment waste"",""-35"":""tonight wife tongue""},""reversed"":true,""vertical"":false,""range"":true,""graduated"":true,""type"":""slider"",""options"":null},{""label"":""date sell"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""whispered rate clock hill poet speed us"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""type"":""transfer"",""options"":null,""defaultValue"":null}]"
452,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""bag drive hall"">bag drive hall</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" type=""checkbox"" value=""""/><span backgroundcolor=""white 1"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">bag drive hall</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""wide clear"">wide clear</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""radio"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">wide clear</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-checked=""false"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" role=""switch"" type=""button""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""label"":""bag drive hall"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""giving evening rest simply knife mouse serve"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""wide clear"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""accept closely widely me thought perhaps birth shop"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""dried plate dirty"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""eat crew broad hunter leg hall"",""text"":null,""type"":""switch"",""options"":null}]"
453,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" title=""desk spite"">desk spite</div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><input backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" type=""checkbox"" value=""""/><span backgroundcolor=""black 0"" bordercolor=""gainsboro 1"" color=""black 0""></span></span><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"">desk spite</span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" id=""rc_select_1"" role=""combobox"" type=""search"" value=""sang uncle""></div><span aria-hidden=""true"" aria-label=""check-circle"" backgroundcolor=""black 0"" bordercolor=""limegreen 1"" color=""limegreen 1"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></div></form>"," [{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""desk spite"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""dropped nearly clay equipment rich heat smile follow suit leaving"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""label"":""comfortable"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""structure stopped silk alive military location"",""maxTagCount"":3,""multiple"":false,""options"":null,""type"":""cascader""},{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""off block party"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""will wear stove simplest everybody pilot"",""options"":null,""type"":""autoComplete""}]"
454,"<form backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""white 1"" bordercolor=""orange 1"" color=""black 0""><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" placeholder=""Start week"" readonly="""" size=""12"" value=""""></div><div aria-hidden=""true"" aria-label=""swap-right"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""swap-right"" fill=""currentColor"" focusable=""false"" fontsize=""1.1428571428571428"" height=""1em"" role=""img"" viewbox=""0 0 1024 1024"" width=""1em""></div><div autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" placeholder=""End week"" readonly="""" size=""12"" value=""""></div><div backgroundcolor=""orange 1"" bordercolor=""black 0"" color=""black 0""></div><span backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><span aria-hidden=""true"" aria-label=""calendar"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" data-icon=""calendar"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span><span aria-hidden=""true"" aria-label=""exclamation-circle"" backgroundcolor=""black 0"" bordercolor=""orange 1"" color=""orange 1"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" viewbox=""64 64 896 896"" width=""1em""></span></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0""><div aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" disabled="""" id=""rc_select_1"" role=""combobox"" type=""search"" value=""friendly""></div><span aria-hidden=""true"" aria-label=""check-circle"" backgroundcolor=""black 0"" bordercolor=""limegreen 1"" color=""limegreen 1"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" role=""img"" unselectable=""on"" viewbox=""64 64 896 896"" width=""1em""></span></div><div backgroundcolor=""black 0"" bordercolor=""black 0"" color=""black 0"" role=""alert""></div></div></form>"," [{""type"":""upload"",""options"":null,""defaultValue"":null},{""label"":""industry history"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""solution held say"",""maxTagCount"":0,""multiple"":true,""options"":null,""type"":""cascader""},{""label"":""poem moving"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""differ equator something"",""picker"":""week"",""isRange"":true,""showTime"":false,""type"":""date"",""options"":null},{""label"":null,""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""dried pen sheet hole ice school public mouth stairs earth"",""options"":null,""type"":""autoComplete""}]"
