,prompt,completion
23,"<form><div><div><div><div><div><div><div><button aria-checked=""false"" role=""switch"" type=""button""><div></div><span><span></span><span></span></span></button></div></div><div><div role=""alert""><div>can center pair unit well won wheat dangerous</div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" role=""combobox"" type=""search"" value=""""/></span><span></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>mean pink fear influence education paper</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":null,""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""can center pair unit well won wheat dangerous"",""text"":null,""type"":""switch"",""options"":null},{""label"":""sign near"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""mean pink fear influence education paper"",""options"":null,""type"":""autoComplete""}]"
26,<form><div><div></div></div><div><div></div></div></form>,"[{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""silence sit"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":null,""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null}]"
27,"<form><div><div><div><div><div><label title=""gift saved world"">gift saved world</label></div><div><div><div><label><span><input type=""checkbox"" value=""""/><span></span></span><span>gift saved world</span></label></div></div><div><div role=""alert""><div>floor tomorrow scale title afraid influence current rise want bad</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" disabled="""" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/></span><span></span></div><span aria-hidden=""true"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span><span><span aria-label=""check-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm193.5 301.7l-210.6 292a31.8 31.8 0 01-51.7 0L318.5 484.9c-3.8-5.3 0-12.7 6.5-12.7h46.9c10.2 0 19.9 4.9 25.9 13.3l71.2 98.8 157.2-218c6-8.3 15.6-13.3 25.9-13.3H699c6.5 0 10.3 7.4 6.5 12.7z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>hang children wheat protection dollar dog street oxygen</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""gift saved world"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""floor tomorrow scale title afraid influence current rise want bad"",""indeterminate"":false,""type"":""checkbox"",""options"":null},{""label"":""explain cap"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""straw away grass iron firm conversation sheet roar"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""enjoy palace steam"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""hang children wheat protection dollar dog street oxygen"",""maxTagCount"":2,""mode"":""single"",""options"":null,""type"":""select""}]"
28,<form><div><div></div></div></form>,"[{""label"":""choice"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":null,""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null}]"
29,"<form><div><div><div><div><div><div><div><div><div><div><div><span title=""escape""><span>escape</span><span aria-hidden=""true"" unselectable=""on""><span aria-label=""close"" role=""img""><svg aria-hidden=""true"" data-icon=""close"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M563.8 512l262.5-312.9c4.4-5.2.7-13.1-6.1-13.1h-79.8c-4.7 0-9.2 2.1-12.3 5.7L511.6 449.8 295.1 191.7c-3-3.6-7.5-5.7-12.3-5.7H203c-6.8 0-10.5 7.9-6.1 13.1L459.4 512 196.9 824.9A7.95 7.95 0 00203 838h79.8c4.7 0 9.2-2.1 12.3-5.7l216.5-258.1 216.5 258.1c3 3.6 7.5 5.7 12.3 5.7h79.8c6.8 0 10.5-7.9 6.1-13.1L563.8 512z""></path></svg></span></span></span></div><div><span title=""function page swept""><span>function page swept</span><span aria-hidden=""true"" unselectable=""on""><span aria-label=""close"" role=""img""><svg aria-hidden=""true"" data-icon=""close"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M563.8 512l262.5-312.9c4.4-5.2.7-13.1-6.1-13.1h-79.8c-4.7 0-9.2 2.1-12.3 5.7L511.6 449.8 295.1 191.7c-3-3.6-7.5-5.7-12.3-5.7H203c-6.8 0-10.5 7.9-6.1 13.1L459.4 512 196.9 824.9A7.95 7.95 0 00203 838h79.8c4.7 0 9.2-2.1 12.3-5.7l216.5-258.1 216.5 258.1c3 3.6 7.5 5.7 12.3 5.7h79.8c6.8 0 10.5-7.9 6.1-13.1L563.8 512z""></path></svg></span></span></span></div><div><span title=""forget frame""><span>forget frame</span><span aria-hidden=""true"" unselectable=""on""><span aria-label=""close"" role=""img""><svg aria-hidden=""true"" data-icon=""close"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M563.8 512l262.5-312.9c4.4-5.2.7-13.1-6.1-13.1h-79.8c-4.7 0-9.2 2.1-12.3 5.7L511.6 449.8 295.1 191.7c-3-3.6-7.5-5.7-12.3-5.7H203c-6.8 0-10.5 7.9-6.1 13.1L459.4 512 196.9 824.9A7.95 7.95 0 00203 838h79.8c4.7 0 9.2-2.1 12.3-5.7l216.5-258.1 216.5 258.1c3 3.6 7.5 5.7 12.3 5.7h79.8c6.8 0 10.5-7.9 6.1-13.1L563.8 512z""></path></svg></span></span></span></div><div><div><input aria-activedescendant=""rc_select_2_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/><span aria-hidden=""true""> </span></div></div></div></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>none buffalo express remove grabbed studying</div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" role=""combobox"" type=""search"" value=""twice lonely strip""/></span></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":null,""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""none buffalo express remove grabbed studying"",""maxTagCount"":1,""mode"":""multiple"",""options"":null,""type"":""select""},{""label"":""composed replace hurt"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":"""",""validationMessage"":""slow dark difference special thee behind bad on"",""options"":null,""type"":""autoComplete""}]"
30,"<form><div><div></div></div><div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""70"" autocomplete=""off"" disabled="""" role=""spinbutton"" step=""1"" value=""70""/></div></div><span><span><span aria-label=""check-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""check-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm193.5 301.7l-210.6 292a31.8 31.8 0 01-51.7 0L318.5 484.9c-3.8-5.3 0-12.7 6.5-12.7h46.9c10.2 0 19.9 4.9 25.9 13.3l71.2 98.8 157.2-218c6-8.3 15.6-13.3 25.9-13.3H699c6.5 0 10.3 7.4 6.5 12.7z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>stronger chest recently strong</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""knowledge"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""available cap whole indicate flag scientific provide slightly dug dust"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""coffee chance"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""success"",""validationMessage"":""stronger chest recently strong"",""min"":-100,""max"":100,""step"":1,""type"":""number"",""options"":null}]"
31,"<form><div><div><div><div><div><label title=""then saw"">then saw</label></div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span>then saw</span></label></div></div><div><div role=""alert""><div>cross team partly low</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""then saw"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""cross team partly low"",""renderAs"":null,""type"":""radio"",""options"":null}]"
33,"<form><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" role=""combobox"" type=""search"" value=""""/></span><span></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>its nice oxygen condition sang quickly tie ate can immediately</div></div><div></div></div></div></div><div></div></div></div><div></div></div><div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_4_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_4_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_4_list"" autocomplete=""off"" role=""combobox"" type=""search"" value=""driving spend""/></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>slope real bill mood properly north rising dinner map nearby</div></div><div></div></div></div></div><div></div></div></div><div></div></div><div><div><div><div><div><label title=""whatever hope port"">whatever hope port</label></div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span>whatever hope port</span></label></div></div><div><div role=""alert""><div>seems park thy</div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_5_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_5_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_5_list"" autocomplete=""off"" role=""combobox"" type=""search"" value=""remain boy""/></span></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div></div><div><span></span><span></span></div><div><span>scientific taken already</span><span>noon famous belong</span></div></div></div></div><div><div role=""alert""><div>forgot death settle built duck lying</div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><div><div><div><div></div><div><span></span><span></span><span></span><span></span><span></span><span></span><span></span></div><div><span>design evidence</span><span>farther automobile</span><span>we</span><span>meat trail</span><span>tool</span><span>gate learn avoid</span><span>wet</span></div></div></div></div><div><div role=""alert""><div>furniture highway it contain shoot young</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""chest spite outside"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""its nice oxygen condition sang quickly tie ate can immediately"",""options"":null,""type"":""autoComplete""},{""type"":""upload"",""options"":null,""defaultValue"":null},{""label"":""produce certain actual"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""slope real bill mood properly north rising dinner map nearby"",""options"":null,""type"":""autoComplete""},{""label"":""suit"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""unless prize tiny handle tea trip automobile"",""count"":100,""allowHalf"":true,""type"":""rate"",""options"":null},{""label"":""whatever hope port"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""seems park thy"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""happily child"",""disabled"":false,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""alone sail test thrown home information seldom time dance same"",""options"":null,""type"":""autoComplete""},{""label"":""rise roof"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""forgot death settle built duck lying"",""min"":-100,""max"":100,""step"":2,""marks"":{""11"":""scientific taken already"",""72"":""noon famous belong""},""reversed"":false,""vertical"":true,""range"":true,""graduated"":false,""type"":""slider"",""options"":null},{""label"":""steam which crowd"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""furniture highway it contain shoot young"",""min"":-100,""max"":100,""step"":3,""marks"":{""28"":""tool"",""87"":""gate learn avoid"",""93"":""wet"",""-72"":""farther automobile"",""-31"":""we"",""-96"":""design evidence"",""-10"":""meat trail""},""reversed"":true,""vertical"":true,""range"":true,""graduated"":false,""type"":""slider"",""options"":null}]"
34,"<form><div><div><div><div><div><div><div><div><div><div><span aria-disabled=""false"" aria-label=""Increase Value"" role=""button"" unselectable=""on""><span aria-label=""up"" role=""img""><svg aria-hidden=""true"" data-icon=""up"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M890.5 755.3L537.9 269.2c-12.8-17.6-39-17.6-51.7 0L133.5 755.3A8 8 0 00140 768h75c5.1 0 9.9-2.5 12.9-6.6L512 369.8l284.1 391.6c3 4.1 7.8 6.6 12.9 6.6h75c6.5 0 10.3-7.4 6.5-12.7z""></path></svg></span></span><span aria-disabled=""false"" aria-label=""Decrease Value"" role=""button"" unselectable=""on""><span aria-label=""down"" role=""img""><svg aria-hidden=""true"" data-icon=""down"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M884 256h-75c-5.1 0-9.9 2.5-12.9 6.6L512 654.2 227.9 262.6c-3-4.1-7.8-6.6-12.9-6.6h-75c-6.5 0-10.3 7.4-6.5 12.7l352.6 486.1c12.8 17.6 39 17.6 51.7 0l352.6-486.1c3.9-5.3.1-12.7-6.4-12.7z""></path></svg></span></span></div><div><input aria-valuemax=""100"" aria-valuemin=""-100"" aria-valuenow=""59"" autocomplete=""off"" role=""spinbutton"" step=""2"" value=""59""/></div></div><span><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>away hollow anyway block</div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><label title=""education broad night"">education broad night</label></div><div><div><div><label><span><input disabled="""" type=""radio"" value=""""/><span></span></span><span>education broad night</span></label></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div></div><div><div><div><div><div><div><div><div><div><div><div><span title=""pictured still""><span>pictured still</span></span></div><div><span title=""carry grabbed""><span>carry grabbed</span></span></div><div><div><input aria-activedescendant=""rc_select_2_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_2_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_2_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""""/><span aria-hidden=""true""> </span></div></div></div></div></div></div></div><div><div role=""alert""><div></div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><div><div><div><div><span><input aria-activedescendant=""rc_select_3_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_3_list"" aria-expanded=""false"" aria-haspopup=""listbox"" aria-owns=""rc_select_3_list"" autocomplete=""off"" disabled="""" role=""combobox"" type=""search"" value=""""/></span><span></span></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""close-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""close-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm165.4 618.2l-66-.3L512 563.4l-99.3 118.4-66.1.3c-4.4 0-8-3.5-8-8 0-1.9.7-3.7 1.9-5.2l130.1-155L340.5 359a8.32 8.32 0 01-1.9-5.2c0-4.4 3.6-8 8-8l66.1.3L512 464.6l99.3-118.4 66-.3c4.4 0 8 3.5 8 8 0 1.9-.7 3.7-1.9 5.2L553.5 514l130 155c1.2 1.5 1.9 3.3 1.9 5.2 0 4.4-3.6 8-8 8z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>arm report measure hurt due freedom finish gave</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""label"":""fort"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""away hollow anyway block"",""min"":-100,""max"":100,""step"":2,""type"":""number"",""options"":null},{""label"":""education broad night"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""material see shop"",""renderAs"":null,""type"":""radio"",""options"":null},{""label"":""would good girl"",""disabled"":true,""required"":false,""defaultValue"":null,""validationState"":"""",""validationMessage"":""doll sea news plastic belt someone steady function dust largest"",""maxTagCount"":2,""mode"":""tags"",""options"":null,""type"":""select""},{""label"":""were"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""arm report measure hurt due freedom finish gave"",""options"":null,""type"":""autoComplete""}]"
35,"<form><div><div></div><div><div><div><div><div><div><div><div></div><div><span></span><span></span><span></span><span></span></div><div><span>engineer discovery</span><span>tent earth</span><span>dinner greatly smallest</span><span>told useful</span></div></div></div></div><div><div role=""alert""><div>might think usual house instead</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div><div></div></div><div><div><div><div><div><div><div><div><div></div><div><span></span><span></span><span></span><span></span></div><div><span>hat</span><span>living</span><span>union property theory</span><span>along circle</span></div></div></div></div><div><div role=""alert""><div>swim quickly creature</div></div><div></div></div></div></div><div></div></div></div><div><div><div><div><label title=""elephant"">elephant</label></div><div><div><div><label><span><input disabled="""" type=""checkbox"" value=""""/><span></span></span><span>elephant</span></label></div></div><div><div role=""alert""><div>disease studying rough</div></div><div></div></div></div></div><div></div></div></div></div></form>","[{""type"":""transfer"",""options"":null,""defaultValue"":null},{""label"":""ten equal"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""might think usual house instead"",""min"":-100,""max"":100,""step"":5,""marks"":{""89"":""dinner greatly smallest"",""95"":""told useful"",""-11"":""tent earth"",""-84"":""engineer discovery""},""reversed"":true,""vertical"":false,""range"":false,""graduated"":true,""type"":""slider"",""options"":null},{""type"":""treeSelect"",""options"":null,""defaultValue"":null},{""type"":""upload"",""options"":null,""defaultValue"":null},{""label"":""shinning provide swim"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""error"",""validationMessage"":""swim quickly creature"",""min"":-100,""max"":100,""step"":4,""marks"":{""16"":""living"",""22"":""union property theory"",""49"":""along circle"",""-54"":""hat""},""reversed"":true,""vertical"":false,""range"":true,""graduated"":false,""type"":""slider"",""options"":null},{""label"":""elephant"",""disabled"":true,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""disease studying rough"",""indeterminate"":false,""type"":""checkbox"",""options"":null}]"
36,"<form><div><div><div><div><div><div><div><div><div><div><div><span title=""got later""><span>got later</span><span aria-hidden=""true"" unselectable=""on""><span aria-label=""close"" role=""img""><svg aria-hidden=""true"" data-icon=""close"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M563.8 512l262.5-312.9c4.4-5.2.7-13.1-6.1-13.1h-79.8c-4.7 0-9.2 2.1-12.3 5.7L511.6 449.8 295.1 191.7c-3-3.6-7.5-5.7-12.3-5.7H203c-6.8 0-10.5 7.9-6.1 13.1L459.4 512 196.9 824.9A7.95 7.95 0 00203 838h79.8c4.7 0 9.2-2.1 12.3-5.7l216.5-258.1 216.5 258.1c3 3.6 7.5 5.7 12.3 5.7h79.8c6.8 0 10.5-7.9 6.1-13.1L563.8 512z""></path></svg></span></span></span></div><div><span title=""shine""><span>shine</span><span aria-hidden=""true"" unselectable=""on""><span aria-label=""close"" role=""img""><svg aria-hidden=""true"" data-icon=""close"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M563.8 512l262.5-312.9c4.4-5.2.7-13.1-6.1-13.1h-79.8c-4.7 0-9.2 2.1-12.3 5.7L511.6 449.8 295.1 191.7c-3-3.6-7.5-5.7-12.3-5.7H203c-6.8 0-10.5 7.9-6.1 13.1L459.4 512 196.9 824.9A7.95 7.95 0 00203 838h79.8c4.7 0 9.2-2.1 12.3-5.7l216.5-258.1 216.5 258.1c3 3.6 7.5 5.7 12.3 5.7h79.8c6.8 0 10.5-7.9 6.1-13.1L563.8 512z""></path></svg></span></span></span></div><div><div><input aria-activedescendant=""rc_select_1_list_0"" aria-autocomplete=""list"" aria-controls=""rc_select_1_list"" aria-haspopup=""listbox"" aria-owns=""rc_select_1_list"" autocomplete=""off"" readonly="""" role=""combobox"" type=""search"" unselectable=""on"" value=""""/><span aria-hidden=""true""> </span></div></div></div></div><span aria-hidden=""true"" unselectable=""on""><span><span aria-label=""exclamation-circle"" role=""img""><svg aria-hidden=""true"" data-icon=""exclamation-circle"" fill=""currentColor"" focusable=""false"" height=""1em"" viewbox=""64 64 896 896"" width=""1em""><path d=""M512 64C264.6 64 64 264.6 64 512s200.6 448 448 448 448-200.6 448-448S759.4 64 512 64zm-32 232c0-4.4 3.6-8 8-8h48c4.4 0 8 3.6 8 8v272c0 4.4-3.6 8-8 8h-48c-4.4 0-8-3.6-8-8V296zm32 440a48.01 48.01 0 010-96 48.01 48.01 0 010 96z""></path></svg></span></span></span></div></div></div><div><div role=""alert""><div>into herd tears his discussion maybe</div></div><div></div></div></div></div><div></div></div></div></div><div><div></div></div></form>","[{""label"":""weather quick quietly"",""disabled"":false,""required"":true,""defaultValue"":null,""validationState"":""warning"",""validationMessage"":""into herd tears his discussion maybe"",""maxTagCount"":1,""mode"":""multiple"",""options"":null,""type"":""select""},{""type"":""upload"",""options"":null,""defaultValue"":null}]"
